title;tags;icon;description
"HTML;";"PUG, DOM;";"fa-brands fa-html5 fa-2xl;";Estoy familiarizado con las etiquetas fundamentales y la estructura básica de un documento HTML. También tengo experiencia en el uso de elementos semánticos para mejorar la accesibilidad y el significado del contenido. Mi enfoque se centra en crear sitios web eficientes y amigables para los motores de búsqueda, cumpliendo con los estándares web actuales.
"CSS;";"Boostrap, SASS, LESS;";"fa-brands fa-css3-alt fa-2xl;";Puedo crear diseños responsivos, estilizar páginas web e implementar diseños visuales. Conozco los frameworks de CSS, como Bootstrap, y preprocesadores como SASS, LESS, para agilizar el desarrollo y garantizar estilos consistentes en diferentes dispositivos. Mi enfoque es crear interfaces atractivas y fáciles de usar, manteniendo un código limpio y fácil de mantener.
"JS;";"VANILLA, AJAX, JQUERY;";"fa-brands fa-js fa-2xl;";Con conocimientos en variables, funciones, manipulación del DOM y comunicación con servidores. Crea experiencias interactivas y funcionales en el navegador. ias interactivas y funcionales en el navegador. Mi objetivo es crear experiencias interactivas y funcionales en el navegador, mejorando la usabilidad y el rendimiento de las aplicaciones web.
"PYTHON;";"Django, Flask, Fastapi;";"fa-brands fa-python fa-2xl;";Soy un desarrollador con experiencia en Python y los frameworks Django, FastAPI y Flask. He construido aplicaciones web robustas y escalables con Django, y creado APIs modernas y eficientes con FastAPI y Flask. Estoy familiarizado con los puntos clave de cada framework y puedo utilizarlos para crear soluciones web seguras y funcionales.
"JAVA;";"SPRING BOOT, JSP, BEANS;";"fa-brands fa-java fa-2xl;";Con conocimientos sólidos en Java en programación orientada a objetos, estructuras de datos y algoritmos. Desarrollo de aplicaciones robustas y escalables utilizando el lenguaje Java y el framework Java EE. Experiencia en el desarrollo de soluciones empresariales y aplicaciones web utilizando tecnologías como  Spring y Spring Boot. Comprometido con la calidad del código y la eficiencia en el desarrollo.
"GIT;";"GITHUB, GITLAB, BITBUCKET;";"fa-brands fa-git fa-2xl;";Dominio en la gestión de repositorios, ramas y fusiones para facilitar la colaboración y el seguimiento de cambios en proyectos. Capacidad para realizar despliegues y revertir cambios de manera eficiente. Conocimiento en la resolución de conflictos y en el uso de herramientas colaborativas como GitHub, GitLab Y BITBUCKET. Comprometido con la organización y el flujo de trabajo eficiente en el desarrollo de proyectos de software.
"SQL;";"MYSQL, POSTGRESQL, ORACLE;";"fa-solid fa-database fa-2xl;";Experiencia en el modelado de datos, creación de tablas, consultas SQL, manipulación de datos y optimización de consultas. Dominio de conceptos fundamentales como claves primarias, claves foráneas, índices y normalización. Capacidad para trabajar con diferentes sistemas de gestión de bases de datos, como MySQL, PostgreSQL y Oracle.
"NoSQL;";"MONGO, FIREBASE, REDIS;";"fa-regular fa-file-lines fa-2xl;";"Con sólidos conocimientos en el diseño, implementación y administración de bases de datos no relacionales. Experiencia en la utilización de tecnologías como MongoDB, Redis y Cassandra. Capacidad para trabajar con modelos de datos flexibles y escalables, y realizar consultas eficientes en entornos de alto rendimiento. Conocimiento en el uso de estructuras de datos noSQL, como documentos, clave-valor y columnares. "
"METODOLOGÍAS ÁGILES;";"SCRUM, KANBAN;";"fa-solid fa-arrows-split-up-and-left fa-2xl;";Capacidad para trabajar en equipos colaborativos con las metodologías ágiles como Scrum y Kanban, facilitar la comunicación y promover la entrega continua de valor al cliente. Experiencia en la planificación de iteraciones, seguimiento del progreso y adaptación rápida a los cambios. Comprometido con la mejora continua y la entrega oportuna de productos de alta calidad.
"REACT;";"TYPESCRIPT;";"fa-brands fa-react fa-2xl;";Amplio conocimiento en componentes reutilizables, estado de la aplicación y enrutamiento. Experiencia en el manejo de ciclos de vida de los componentes y en la gestión de eventos. Capacidad para crear aplicaciones web de alto rendimiento y escalables, utilizando las mejores prácticas de desarrollo con ReactJS.
"VUE;";"TYPESCRIPT;";"fa-brands fa-vuejs fa-2xl;";Amplio dominio en el desarrollo de aplicaciones web utilizando Vue.js. Experiencia en la creación de componentes reutilizables, gestión del estado de la aplicación y enrutamiento. Capacidad para crear interfaces interactivas y dinámicas, aprovechando las ventajas de Vue.js, como la reactividad y la composición de componentes.
"ANGULAR;";"TYPESCRIPT;";"fa-brands fa-angular fa-2xl;";Amplio dominio en el desarrollo de aplicaciones web utilizando Angular. Experiencia en la creación de componentes, servicios y enrutamiento. Capacidad para gestionar eficientemente el estado de la aplicación y trabajar con formularios y validaciones. Conocimientos en el uso de directivas, inyección de dependencias y comunicación entre componentes.
"DOCKER;";"DOCKERFILE, DOCKER-COMPOSE;";"fa-brands fa-docker fa-2xl;";Amplio conocimiento en Docker, la plataforma líder en contenedores. Experiencia en el desarrollo, implementación y gestión de aplicaciones en entornos contenerizados. Capacidad para crear imágenes, ejecutar contenedores y orquestar servicios de manera eficiente. Comprometido con la simplificación del despliegue y la gestión de aplicaciones, asegurando la portabilidad y escalabilidad de los entornos.
"TEST UNITARIOS;";"PYTEST, JUNIT, JEST;";"fa-solid fa-mosquito fa-2xl;";Capacidad para diseñar y ejecutar pruebas para verificar el comportamiento y la funcionalidad individual de componentes y funciones. Conocimiento en el uso de frameworks de pruebas, como Pytest, Jest o JUnit, para garantizar la calidad y el rendimiento del código.
"GRAPHQL;";"QUERIES, MUTATIONS;";"fa-solid fa-diagram-project fa-2xl;";Experiencia en el diseño de esquemas, consultas eficientes y resolución de datos de manera precisa. Capacidad para optimizar las solicitudes de datos y obtener solo la información necesaria. Comprometido con la construcción de APIs flexibles y eficientes para mejorar la eficacia de las aplicaciones.
